shape,demo,method,parameters_per_dim,total_parameters,mean_l2,rmse,max_l2,frobenius_per_point,mean_l2_over_bbox_percent
WShape,0,piecewise,3,6,8.604546234408492,9.341395016332228,15.394675587465676,0.2954008477495564,17.471851549102738
WShape,1,piecewise,3,6,8.267374737128513,9.123888822613067,16.43365280226594,0.28852269797609276,15.706576114097864
WShape,2,piecewise,3,6,8.186876395860796,8.92339562702718,15.868829984419344,0.2821825464419226,15.937006006564944
WShape,3,piecewise,3,6,8.57280915975949,9.308223247155052,15.777314801592963,0.29435186430338395,15.843129114380622
WShape,4,piecewise,3,6,9.112093653986555,9.901357323135496,16.873677208073474,0.31310841068295964,16.069198327092803
WShape,5,piecewise,3,6,8.796822749626266,9.662531756025516,17.55397084166483,0.30555608312747023,16.204700408256453
WShape,6,piecewise,3,6,8.879522379685845,9.716352006270812,16.36623008556652,0.30725802887762405,16.971732528199023
Worm,0,piecewise,3,6,5.256693970725713,5.745924908231977,9.805958010246712,0.18170209974307028,10.661935541210878
Worm,1,piecewise,3,6,5.287440512715913,5.8422946974556655,10.617558514389735,0.1847495800588423,10.660301017976652
Worm,2,piecewise,3,6,5.294009202842083,5.9409414268539615,12.381724996441887,0.18786906354509136,10.602960479582032
Worm,3,piecewise,3,6,5.38047430483863,5.935081228582553,11.85189741718969,0.18768374780431307,10.632996651254603
Worm,4,piecewise,3,6,5.260739840025753,5.915110010983724,11.815441125688892,0.18705220245172166,10.289599981048802
Worm,5,piecewise,3,6,5.327360443578893,5.970562527517906,12.375922470213014,0.1888057649940833,10.191586672743504
Worm,6,piecewise,3,6,5.303691918538469,5.958207802499992,13.253920465807465,0.18841507428486653,10.374348289466722
Zshape,0,piecewise,3,6,11.29486071625378,12.773471720637351,25.994323195565325,0.4039326426496404,20.085712734436633
Zshape,1,piecewise,3,6,12.728260437895424,14.206165687756858,28.199382039429548,0.4492384039104407,21.03341003210989
Zshape,2,piecewise,3,6,11.835193129356263,13.431986916740321,27.10876798566668,0.42475672158481864,20.990557047721637
Zshape,3,piecewise,3,6,12.276443215219714,13.905988423399517,28.426484224570647,0.4397459653387639,19.719047720009595
Zshape,4,piecewise,3,6,12.989627755911348,14.50177372839576,27.795554891511,0.4585863509412262,21.479689138773985
Zshape,5,piecewise,3,6,13.751952621722893,15.336728797552796,28.610053911512914,0.48498994856562255,20.683356751602965
Zshape,6,piecewise,3,6,13.625493796664163,15.312976363927776,29.466989514061925,0.48423883066335227,21.482335466871728
heee,0,piecewise,3,6,10.554054248004233,11.594858166126322,24.017761521694315,0.3666616095156217,19.506496110929806
heee,1,piecewise,3,6,10.867505293566522,11.788254286814187,22.618377770171648,0.37277733183576633,18.306907610765226
heee,2,piecewise,3,6,10.739747839920367,11.747866992877322,23.710940654879906,0.37150017346205433,18.886832045240343
heee,3,piecewise,3,6,10.886866459795002,11.855109761032333,24.08289613058222,0.37489148756156637,18.519019733978332
heee,4,piecewise,3,6,11.401710178197249,12.500959941753004,25.420011539236867,0.39531506354465334,18.782002108026656
heee,5,piecewise,3,6,10.306862979177255,11.411674377242463,22.586411052785145,0.3608688294826974,17.083000453587918
heee,6,piecewise,3,6,11.587539205595348,12.631823930901632,25.281402167057873,0.39945334623870554,18.33763671320589
Angle,0,piecewise,7,14,3.267674573525704,3.9194767093638485,10.65593824780135,0.12394473637571572,5.554402860772842
Angle,1,piecewise,7,14,3.2745338608910797,3.8624886915133136,9.38193333767949,0.12214261701825546,5.4890154116931225
Angle,2,piecewise,7,14,3.5310279519396808,4.427382819379867,12.723450750134392,0.14000613782738247,5.890482921850625
Angle,3,piecewise,7,14,3.6927965110566814,4.387397767687798,10.659339451736505,0.1387416994703174,5.851354143292494
Angle,4,piecewise,7,14,3.4427045057040804,4.12624518401663,9.855403164516941,0.13048332965793152,5.450515742350338
Angle,5,piecewise,7,14,3.4411619575728856,4.165836412811493,11.05291187204546,0.13173531424149762,5.569803631465642
Angle,6,piecewise,7,14,3.45498230559695,4.216940779964848,11.382404103985145,0.1333513762273586,5.470285990029468
BendedLine,0,piecewise,7,14,2.9506498964887187,3.6215886397059003,9.015115099285211,0.11452468849661557,6.874657889375486
BendedLine,1,piecewise,7,14,3.0459293790373474,3.7602606317516765,9.15377574291302,0.11890988192198963,6.832185977288366
BendedLine,2,piecewise,7,14,3.143150340925719,3.8271968341890608,9.237226373321503,0.12102659049823211,6.67907901020499
BendedLine,3,piecewise,7,14,3.4079107559065815,4.032683760380669,9.44045188662421,0.12752465765975604,7.050781579016565
BendedLine,4,piecewise,7,14,3.52285257095574,4.245231040217061,10.855856950907329,0.1342459928073178,6.89170089988043
BendedLine,5,piecewise,7,14,3.877533474084396,4.629773182638834,12.477324603019385,0.1464062830710544,7.149098479362886
BendedLine,6,piecewise,7,14,3.4917330340331185,4.31860899939259,12.222253914695383,0.13656640761781308,6.757240560005441
CShape,0,piecewise,7,14,3.4620128170006303,4.2044677202133585,10.027999059587401,0.1329569434452978,6.489613515953159
CShape,1,piecewise,7,14,4.048471827535582,4.8561415141139905,11.320044679766363,0.1535646782469892,6.627617786137993
